동,가격,매물정보
e편한세상광교 6111동,매매18억,"아파트156F/120m², 18/39층, 남서향
47F. 양창형 개방감굿. 인기로얄동로얄층. 일조량풍부. 세안고"
e편한세상광교 6110동,"매매18억 5,000","아파트149A/119m², 18/18층, 남동향
45A. 판상. R로얄. 초역세권. 입지굿. 층간소음 걱정 없는집"
e편한세상광교 6109동,"매매18억 8,000","아파트149A/119m², 14/35층, 남동향
45, 판상형, 집관리상태최상, 입주가능, 역세권, 조망굿"
e편한세상광교 6117동,전세12억,"아파트176A/145m², 1/37층, 남동향
53.남향. 깨끗하게 관리 잘된집. 다산공원 확 트인뷰.아이키우기 최고"
e편한세상광교 6111동,매매18억,"아파트156F/120m², 18/39층, 남서향
47 로얄동층,단독위임, 귀한타입,세안고, 거실 양창문 사계절 햇살맛집"
e편한세상광교 6115동,전세10억,"아파트149A/119m², 22/28층, 남동향
45A . 판상. 막힘없는뷰. 채광G. 컨디션G. 초중근접"
e편한세상광교 6111동,"매매19억 5,000","아파트155D/120m², 22/39층, 남동향
47판상 컨디션 최고 햇살좋은집 신분당선역세권 초중품아"
e편한세상광교 6109동,"매매18억 8,000","아파트149A/119m², 14/35층, 남동향
45,판상,확트여있는인기동, 관리 잘되어 깨끗한집,광교중앙역가까운동"
e편한세상광교 6101동,매매18억,"아파트149A/119m², 6/26층, 남동향
45판상,로얄동, 신분당선 근접 인프라 최고, 햇살밝은집,"
e편한세상광교 6119동,월세5억/180,"아파트136G/101m², 1/37층, 남서향
41G. 전세가능. 로얄R동. 산의초인근. 층간소음N."
e편한세상광교 6119동,월세5억/180,"아파트136G/101m², 1/37층, 남서향
41,로얄동,정문.단.지.내. 채광좋은 정원뷰,.아이키우기최적,인테리어"
e편한세상광교 6115동,월세6억/140,"아파트149A/119m², 22/28층, 남동향
45A . 판상. 막힘없는뷰. 채광G. 컨디션G. 초중근접"
e편한세상광교 6115동,월세6억/140,"아파트149A/119m², 22/28층, 남동향
45,판상,확 트여있는 뷰,초.중인접단지 ,까페거리.여천이용 편리"
e편한세상광교 6119동,전세10억,"아파트136G/101m², 1/37층, 남서향
41,채광좋은 정원뷰,조용한 로얄동,아이키우기최적,인테리어굿,초품아"
e편한세상광교 6119동,전세10억,"아파트136G/101m², 1/37층, 남서향
41G. 반전세가능. 로얄R동. 산의초인근. 층간소음N."
e편한세상광교 6115동,매매18억,"아파트149A/119m², 9/28층, 남동향
45판상 채광 통풍 컨디션 우수 작은방확장 초중품아 커뮤니티가까운동"
e편한세상광교 6117동,월세7억/200,"아파트176A/145m², 1/37층, 남향
53A. 여천뷰. 커뮤니티가까운동 . 층간소음 걱정노노 . 관리된집"
e편한세상광교 6117동,전세12억,"아파트176A/145m², 1/37층, 남향
53A. 여천뷰. 커뮤니티가까운동 . 층간소음 걱정노노 . 관리된집"
e편한세상광교 6111동,"매매19억 5,000","아파트155D/120m², 22/39층, 남동향
47.판상,로얄동 ,확 트인 전망,채광 좋은집,깨끗함,정상입주"
e편한세상광교 6108동,"매매16억 5,000","아파트130A/100m², 1/10층, 남동향
39판상,풀인테리어, 시스템에어컨 5대, 연무중근접, 편의시설 이용편리동"
e편한세상광교 6119동,월세5억/180,"아파트136G/101m², 1/37층, 남서향
41 아이키우기최적 초록뷰 신분당선초역세권 산의초가까운동"
e편한세상광교 6117동,매매23억,"아파트176B/145m², 20/37층, 남향
53판상 귀한평수 풀시에 컨디션굿 초등가까운동"
e편한세상광교 6108동,"매매16억 5,000","아파트130A/100m², 1/10층, 남동향
39,풀 인테리어 ,시에,편의시설 접근 최고,조용한 동,예쁜 정원뷰,"
e편한세상광교 6107동,"전세9억 8,000","아파트155D/120m², 32/37층, 남동향
47판상 탁트인 전망 시에 중문 초중품아 카페거리 가까운동"
e편한세상광교 6115동,월세6억/140,"아파트149A/119m², 22/28층, 남동향
45 판상, 4월 입주협의, 카페거리와 여천산책로 근접, 채광 좋아요"
e편한세상광교 6115동,월세6억/140,"아파트149A/119m², 22/28층, 남동향
45판상 탁트인뷰 채광 통풍 우수 카페거리가까운 동 초중품아"
e편한세상광교 6119동,전세10억,"아파트136G/101m², 1/37층, 남서향
41 정원뷰 신분당선초역세권 산의초 가까운동"
e편한세상광교 6120동,매매21억,"아파트176B/145m², 1/15층, 남향
53B판상, 체감 3층 높이, 서비스 발코니,큰 옷방, 정남향 탄천뷰"
e편한세상광교 6119동,월세5억/180,"아파트136G/101m², 1/37층, 남서향
41, 인기동, 주인거주 컨디최상, 거실 단지정원뷰, 산의초교 근접동"
e편한세상광교 6117동,전세12억,"아파트176A/145m², 1/37층, 남향
53판상, 단독, 시스템에어컨, 귀한 타입, 넓은 거실과 주방, 채광굿"
e편한세상광교 6115동,전세10억,"아파트149A/119m², 22/28층, 남동향
45판상 탁트인뷰 채광 통풍 우수 카페거리가까운 동 초중품아"
e편한세상광교 6117동,전세12억,"아파트176A/145m², 1/37층, 남향
53판상 컨디션우수 귀한평수 풀시에 아늑한 여천뷰 커뮤니티 가까운 동"
e편한세상광교 6115동,전세10억,"아파트149A/119m², 22/28층, 남동향
45 판상, 4월 입주협의, 카페거리와 여천산책로 근접, 채광 좋아요"
e편한세상광교 6119동,전세10억,"아파트136G/101m², 1/37층, 남서향
41조용한동,채광조망굿,초등학교인접동,커뮤니티가까운,로얄동"
e편한세상광교 6107동,"전세9억 8,000","아파트155D/120m², 32/37층, 남동향
47 판상, 연무중과 카페거리 근접동, 트인뷰, 채광최고, 컨디션굿"
e편한세상광교 6109동,"매매18억 8,000","아파트149A/119m², 14/35층, 남동향
최고물건 45판상. 역세권. 로얄동 로얄층. 최고A급 살아보고싶은집."
e편한세상광교 6109동,매매19억,"아파트149A/119m², 14/35층, 남동향"
e편한세상광교 6107동,매매18억,"아파트156F/120m², 21/37층, 남서향
47 컨디션 우수 거실 양창문 햇살좋은집 트인뷰 카페거리가까운 동"
e편한세상광교 6111동,매매18억,"아파트156F/120m², 18/39층, 남서향
47 세안고 탁트인뷰 신분당선초역세권 초중품아"
e편한세상광교 6111동,"매매19억 5,000","아파트155D/120m², 22/39층, 남동향
47 판상형, 로얄동로얄층, 햇살맛집, 신분당선 근접동"
e편한세상광교 6109동,매매19억,"아파트149A/119m², 14/35층, 남동향
45판상형, 다산공원 보이는 탁 트인 뷰, 중앙역에 가까운 동"
e편한세상광교 6109동,매매19억,"아파트149A/119m², 14/35층, 남동향
45p, 로얄동, 막힘없는 정면 공원뷰, 주변인프라 최상, 역세권, 학군"
e편한세상광교 6101동,매매18억,"아파트149A/119m², 6/26층, 남동향
45판상 컨디션우수 시에3 신분당선근접동 초중품아"
e편한세상광교 6117동,매매23억,"아파트176B/145m², 20/37층, 남향
53판상,정남향,풀시에,동간거리 넓고 커뮤니티 이용편리,조용한 로얄동"
e편한세상광교 6109동,"매매18억 8,000","아파트149A/119m², 14/35층, 남동향
45판상, 입주가, 로얄동로얄층, 트인조망굿, 역이용편리"
e편한세상광교 6119동,월세5억/180,"아파트136G/101m², 1/37층, 남서향
41, 산의초 바로옆, 인테리어굿, 아이키우기 좋은집, 입주일협의"
e편한세상광교 6122동,매매18억,"아파트129C/100m², 15/15층, 남서향"
e편한세상광교 6117동,매매23억,"아파트176B/145m², 20/37층, 남향
53B. 판상. 시원하게 트인뷰. 여천산책로. 채광 컨디션G"
e편한세상광교 6120동,매매21억,"아파트176B/145m², 1/15층, 남향
53B. 특A급. 여천뷰. 풀 A급수리. 세안고매매"
e편한세상광교 6107동,"매매17억 8,000","아파트156F/120m², 2/37층, 남서향
47 컨디션 우수 양창문 앞뒤로 트인뷰 카페거리가까운 동 초중품아"
e편한세상광교 6121동,매매19억,"아파트149A/119m², 19/34층, 남동향
45판상, 전망굿,인기중앙동, 산의초교와 호수산책로 근접, 채광최고"
e편한세상광교 6107동,"전세9억 8,000","아파트155D/120m², 32/37층, 남동향
즉시입주.판상형.시스템에어컨5.상권,학군,교통최고입지."
e편한세상광교 6112동,"매매17억 5,000","아파트136G/101m², 33/38층, 남동향
41, 화이트 톤 풀인테리어, 풀시스템 에어컨, 채광굿, 트인뷰"
e편한세상광교 6111동,"매매19억 5,000","아파트155D/120m², 22/39층, 남동향
판상형, 상태 굿 정상입주"
e편한세상광교 6102동,"매매18억 5,000","아파트149A/119m², 중/21층, 남동향
45A . 판상. 인테리어. R로얄. 초역세권. 입지G"
e편한세상광교 6122동,매매18억,"아파트129C/100m², 고/15층, 남서향
39C . 판상. 컨디션최상. 채광 입지G. 막힘없는뷰. 초중근접"
e편한세상광교 6112동,매매18억,"아파트137H/101m², 중/38층, 남서향
41H판상. 깔끔 관리잘된 집. 환하고 시원한 뷰. 최고 인기로얄동"
e편한세상광교 6115동,매매18억,"아파트149A/119m², 중/28층, 남동향
45A . 판상. 여천산책로. 채광 입지G. 막힘없는 최고뷰"
e편한세상광교 6112동,매매18억,"아파트136F/101m², 중/38층, 남동향
41F판상형. 초역세권. 채광 입지 굿. 막힘없는 최고 뷰. 초중근접"
e편한세상광교 6122동,매매18억,"아파트129C/100m², 고/15층, 남서향
39C . 판상. 컨디션최상. 채광 입지G. 막힘없는뷰. 초중근접"
e편한세상광교 6103동,매매18억,"아파트131D/100m², 고/36층, 남동향
39D. 초역세권. 트인 채광G. 초중근접. 입지G"
e편한세상광교 6107동,"매매17억 8,000","아파트156F/120m², 저/37층, 남서향
47F. 양창형. 넓은 드레스룸 . 까페거리근접. 연무중근접"
e편한세상광교 6103동,"매매17억 8,000","아파트129C/100m², 중/36층, 남동향
39C . 판상. 초역세권. 광교중앙역. R.R 인기동"
e편한세상광교 6119동,"매매16억 5,000","아파트136G/101m², 중/37층, 남서향
41G타입. 인기동. 로얄층. 최고 뷰. 세안고 매매"
e편한세상광교 6121동,매매19억,"아파트155D/120m², 고/34층, 남서향
47D. 선호타입. 시원한A급 뷰. 초중품아. 입지굿"
e편한세상광교 6122동,"매매17억 5,000","아파트129C/100m², 고/15층, 남서향
39C . 판상. 컨디션최상. 채광 입지G. 막힘없는뷰. 초중근접"
e편한세상광교 6112동,매매18억,"아파트137H/101m², 중/38층, 남서향"
e편한세상광교 6113동,매매19억,"아파트156F/120m², 저/39층, 남서향
47F 양창형. 개방감 최고. 트인 채광 굿. 역세권 로얄인기동"
e편한세상광교 6119동,매매17억,"아파트136G/101m², 고/37층, 남서향
41G. 시원한 A급 뷰. 초중품아. 로얄동. 신분당선 이용편리"
e편한세상광교 6105동,"매매16억 5,000","아파트131D/100m², 저/23층, 남서향
39D. 초역세권. 트인 채광G. 초중근접. 세안고매매"
e편한세상광교 6122동,매매17억,"아파트131D/100m², 중/15층, 남서향
39D. 산의초인접. 채광 입지G. 여천산책로 힐링"
e편한세상광교 6102동,"매매18억 5,000","아파트149A/119m², 저/21층, 남동향
45A . 판상 . 트인전망. 초역세권. R로얄동. 조망G"
e편한세상광교 6113동,매매19억,"아파트155D/120m², 중/39층, 남서향
47D. 판상형. 트인 채광 굿. 조경 예쁜 최고 인기 로얄동"
e편한세상광교 6121동,매매19억,"아파트149A/119m², 저/34층, 남동향
45A . 판상 초역세권. 채광 입지G. 막힘없는 최고뷰. 컨디션G"
e편한세상광교 6103동,매매17억,"아파트131D/100m², 저/36층, 남동향
39D . 초역세권. 트인 채광G. 초중근접. 입지G"
e편한세상광교 6111동,매매19억,"아파트156E/120m², 중/39층, 남동향
47E.초역세권.로얄동. 밝고 트인 뷰. 컨디션굿"
e편한세상광교 6121동,"매매18억 7,000","아파트156E/120m², 고/34층, 남서향
47E. 초역세권. 채광G. 넓은드레스룸. 컨디션G"
e편한세상광교 6122동,"매매16억 5,000","아파트131E/100m², 저/15층, 남동향
39E. 귀한타입. 여천뷰. 채광 컨디션G. 산의초근접"
e편한세상광교 6101동,매매19억,"아파트149A/119m², 중/26층, 남동향
45A . 판상 . 초역세권 . R.R동층. 트인뷰 . 입주협의"
e편한세상광교 6103동,"매매17억 5,000","아파트129C/100m², 저/36층, 남동향
39C . 판상. 초역세권. 광교중앙역. R.R 인기동"
e편한세상광교 6107동,"매매18억 5,000","아파트155D/120m², 저/37층, 남동향
47D . 판상. 연무중근접. I.C근접. 입지G"
e편한세상광교 6112동,매매17억,"아파트136G/101m², 중/38층, 남동향
41G타입. 초역세권. 탁 트인 뷰, 채광 굿. 초중근접. 입지 최고"
e편한세상광교 6112동,"매매17억 5,000","아파트137H/101m², 저/38층, 남서향
41H판상. 깔끔 관리잘된 집. 환하고 시원한 뷰. 입주협의가능"
e편한세상광교 6115동,매매18억,"아파트149A/119m², 중/28층, 남동향
45판상, 연무중 근접 ,카페거리와 IC 근접, 호수산책굿, 깨끗한집"
e편한세상광교 6115동,매매18억,"아파트149A/119m², 저/28층, 남동향
45판상, 절충가, 작은방 확장,정문,카페거리근접동,채광전망 굿"
e편한세상광교 6102동,"매매18억 5,000","아파트149A/119m², 저/21층, 남동향
추천,45판상, 중앙역 근접 인기동, 편의시설 편리, 채광굿, 트인뷰"
e편한세상광교 6103동,매매18억,"아파트137H/101m², 고/36층, 남동향
로얄동,로얄층,뻥뷰,산의초교와 신분당선 근접,채광좋고 깨끗한집"
e편한세상광교 6103동,매매17억,"아파트131D/100m², 저/36층, 남동향
39,신분당선 과 연무중 근접,주방확장,넓은드레스룸,편의시설이용굿"
e편한세상광교 6107동,"매매18억 5,000","아파트155D/120m², 저/37층, 남동향
47판상, 풀시스템에어컨, 세안고, 연무중과 카페거리 근접 로얄동"
e편한세상광교 6103동,"매매17억 5,000","아파트129C/100m², 저/36층, 남동향
39판상 ,역과 연무중 근접, 로얄인기동, 넓은드레스룸, 편의시설편리"
e편한세상광교 6103동,월세7억/60,"아파트131D/100m², 중/36층, 남동향
39D . 초역세권. 트인 채광G. 초중근접. 풀시스템에어컨"
e편한세상광교 6112동,"매매17억 5,000","아파트137H/101m², 저/38층, 남향
41,판상형,로얄 인기동,확 트인 다산공원 정원뷰,중앙역,편의시설 이용굿"
e편한세상광교 6117동,월세8억/160,"아파트176A/145m², 저/37층, 남향
53,남향,동간거리 넓은동,조용함,.커뮤니티 .여천이용 편리,"
e편한세상광교 6111동,매매20억,"아파트156F/120m², 저/39층, 남서향
47,전망 좋은 로열동 로열매물,채광굿,관리잘된집,역세권아파트"
e편한세상광교 6122동,"매매16억 5,000","아파트131D/100m², 고/15층, 남서향
39,개방감 좋음,예쁜 공원뷰, 산의초교와 호수공원 근접,채광굿"
e편한세상광교 6116동,전세9억,"아파트137H/101m², 고/37층, 남서향
41,판상형,깨끗하게 관리잘된집,뷰좋아요,주민운동시설가까운동,가격최고"
e편한세상광교 6102동,월세1억/400,"아파트149A/119m², 고/21층, 남동향
45,판상,단독위임,풀시에,깨끗하고 햇빛 잘 들어옴,광교 중양역 이용편리"
e편한세상광교 6111동,매매18억,"아파트156F/120m², 중/39층, 남서향
47F . 단독위임 . 인기로얄동층. 일조량풍부 . 입주가능"
e편한세상광교 6114동,월세7억/160,"아파트155D/120m², 저/39층, 남서향
47,판상,확 트인 채광좋음, 학원차량 이용 편리, 까페거리.여천 이용굿"
e편한세상광교 6103동,"매매17억 8,000","아파트129C/100m², 중/36층, 남동향
39 판상, 햇살굿 역근접 인기동,넓은드레스룸,편의시설이용굿,중학교근접"
e편한세상광교 6119동,매매17억,"아파트136G/101m², 고/37층, 남동향
41,방3,시스템에어컨,산의초교와 신분당선 근접,채광좋고 깨끗한집"
e편한세상광교 6112동,"매매17억 5,000","아파트137H/101m², 저/38층, 남서향
41인기판상, 강력추천, 인기로얄동, 로얄층, 산의초인접, 채광굿,"
e편한세상광교 6110동,"매매18억 5,000","아파트149A/119m², 고/18층, 남동향
45판상, 로얄동, 소음 걱정무,세안고, 신분당선 근접, 햇볕 잘 드는집"
e편한세상광교 6117동,월세7억/200,"아파트176A/145m², 저/37층, 남동향
53.남향. 깨끗하게 관리 잘된집. 다산공원 확 트인뷰. 시에."
e편한세상광교 6114동,매매19억,"아파트156E/120m², 고/39층, 남동향
47 컨디션우수 최근 풀시에 탁트인뷰 초중품아 카페거리가까운 동"
e편한세상광교 6102동,"전세9억 9,000","아파트149A/119m², 중/21층, 남동향
45,판상형,로얄 인기동,확트인 뷰,채광좋음,중앙역 .편의시설 이용최고,"
e편한세상광교 6114동,월세7억/160,"아파트155D/120m², 저/39층, 남서향
47D 판상형. 여천 산책로. 채광 입지 굿. 막힘 없는 최고 뷰"
e편한세상광교 6109동,"전세9억 5,000","아파트156E/120m², 중/35층, 남서향
47, 로얄동,로얄층,관리 잘 된집,탁 트인 최고의 뷰,풀시에"
e편한세상광교 6106동,월세8억/120,"아파트149A/119m², 중/28층, 남동향
45A. 5.6월입주가능. A급집관리. 로얄R . 전세가능"
e편한세상광교 6106동,전세11억,"아파트149A/119m², 중/28층, 남동향
45,판상형,로얄 단지 중앙동,풀시에,인테리어,확트인 뷰"
e편한세상광교 6107동,월세4억/280,"아파트155D/120m², 중/37층, 남동향
47D. 시스템에어컨. A급인기타입. A급관리된집"
e편한세상광교 6105동,"매매16억 5,000","아파트131D/100m², 저/23층, 남서향
39 추천, 인기로얄동, 역과 연무중 근접, 햇살밝고 관리잘됨,세안고"
e편한세상광교 6103동,월세7억/60,"아파트131D/100m², 중/36층, 남동향
39,조용한 로얄동,편의시설.중앙역 이용 최고,깨끗하게 관리 잘 된집,"
e편한세상광교 6115동,월세1억/380,"아파트149A/119m², 저/28층, 남동향
45A . 판상. 여천산책로. 채광 입지G. 아늑한 정원뷰. 즉시입주가능"
e편한세상광교 6109동,월세6억/160,"아파트156E/120m², 중/35층, 남동향
47E. 역 가까운동 . 넓은 드레스룸. R.R . 관리된집"
e편한세상광교 6119동,"매매16억 5,000","아파트136G/101m², 중/37층, 남서향
41G, 세안고, 갭투자 추천,거실 트인뷰, 엄마들 인기동, 채광굿"
e편한세상광교 6117동,전세12억,"아파트176A/145m², 저/37층, 남향
53,귀한매물,단독,정남향,조용하고.커뮤니티 바로위 .여천뷰"
e편한세상광교 6122동,"매매16억 5,000","아파트131E/100m², 저/15층, 남동향
39판상, 귀한타입, 산의초교근접동,생태하천산책로인접,조용한동,채광굿"
e편한세상광교 6121동,"매매39억 5,000","아파트241B/179m², 고/34층, 남향
73 최고급펜트하우스,환상적인 호수뷰,갤러리아 백화점 중앙역 이용 편리"
e편한세상광교 6101동,매매19억,"아파트149A/119m², 중/26층, 남동향
45판상 컨디션최고 탁트인시원한뷰 초중품아 중앙역가까운동"
e편한세상광교 6111동,월세4억/280,"아파트156F/120m², 저/39층, 남서향
47F, 양창개방감 시원함, 인테리어, 풀시에, 보증금 조정가능,"
e편한세상광교 6117동,매매23억,"아파트176A/145m², 중/37층, 남향
53 판상 귀한평수 채광 컨디션최고 건강인테리어 호수공원가까운 동"
e편한세상광교 6121동,매매19억,"아파트149A/119m², 저/34층, 남동향
45판상 컨디션우수 세안고 풀시에 탁트인전망 산의초 가까운 동"
e편한세상광교 6107동,월세4억/280,"아파트155D/120m², 중/37층, 남동향
47,판상, 조용하고 트인 전망 좋은 집, 깨끗함,학원차량 이용 편리함"
e편한세상광교 6107동,"전세9억 8,000","아파트155D/120m², 고/37층, 남동향
47D . 판상. 연무중근접. I.C근접. 입지G.빠른입주가능"
e편한세상광교 6112동,"매매17억 5,000","아파트137H/101m², 저/38층, 남서향
41판상 세안고 컨디션우수 탁트인 다산공원뷰 초중품아 중앙역초역세권"
e편한세상광교 6107동,"전세11억 5,000","아파트156E/120m², 중/37층, 남서향
47,확 트인 뷰,풀시에,새도배,넓은 드레스룸, 까페거리 이용편리"
e편한세상광교 6109동,월세6억/160,"아파트156E/120m², 중/35층, 남서향
47, 로얄동,로얄층,관리 잘 된집,탁 트인 최고의 뷰,밝고 깨끗함,"
e편한세상광교 6103동,"매매17억 5,000","아파트129C/100m², 저/36층, 남동향
신분당선, 도청 근접동, 막힘없는 뷰, 판상형,밝고 채광좋은 복있는집"
e편한세상광교 6113동,전세10억,"아파트156E/120m², 저/39층, 남서향
47E. 필로티, 층간소음 X, 풀시에, 중앙 로얄동, 깨끗함."
e편한세상광교 6115동,전세10억,"아파트149A/119m², 고/28층, 남동향
45,판상,확 트여있는 뷰,초.중인접단지 ,까페거리.여천이용 편리"
e편한세상광교 6116동,전세9억,"아파트137H/101m², 고/37층, 남서향
41H판상. 깔끔 관리잘된 집. 환하고 시원한 뷰. 입주협의가능"
e편한세상광교 6117동,월세7억/200,"아파트176A/145m², 저/37층, 남향
53A. 판상. 시원하게 트인뷰. 여천산책로. 채광굿 . 절충가"
e편한세상광교 6112동,매매18억,"아파트137H/101m², 중/38층, 남서향
41판상 컨디션우수 탁트인뷰 초중품아 중앙역초역세권"
e편한세상광교 6103동,"매매17억 5,000","아파트129C/100m², 저/36층, 남동향
39판상 컨디션 우수 넓은드레스룸 초중학세권 편의시설 중앙역가까운 동"
e편한세상광교 6112동,월세3억/240,"아파트137H/101m², 저/38층, 남서향
41H판상. 깔끔 관리잘된 집. 환하고 시원한 뷰. 최고 인기로얄동"
e편한세상광교 6111동,월세4억/280,"아파트156F/120m², 저/39층, 남서향
47F. 양창형 개방감굿. 인기로얄동. 일조량풍부. 넓은 드레스룸"
e편한세상광교 6109동,전세9억,"아파트156E/120m², 중/35층, 남동향
47E. 역 가까운동 . 넓은 드레스룸. R . 관리된집. 반전세가능"
e편한세상광교 6106동,전세11억,"아파트149A/119m², 중/28층, 남동향
45A. 5.6월입주가능. A급집관리. 로얄R"
e편한세상광교 6103동,매매18억,"아파트137H/101m², 고/36층, 남서향
41판상 확트여있어채광굿 .중앙역이용편리 .초중품아"
e편한세상광교 6107동,"전세9억 8,000","아파트155D/120m², 고/37층, 남동향
47,판상, 시에,중문,확 트인 뷰,깨끗함,학원차량 이용편리,"
e편한세상광교 6117동,전세12억,"아파트176A/145m², 저/37층, 남향
53A. 판상. 시원하게 트인뷰. 여천산책로. 채광굿 . 절충가"
e편한세상광교 6115동,매매18억,"아파트149A/119m², 중/28층, 남동향
45판상 탁트인뷰 컨디션 채광 통풍 우수 카페거리가까운 동 초중품아"
e편한세상광교 6121동,매매21억,"아파트156E/120m², 고/34층, 남서향
47 컨디션 최고 탁트인뷰 산의초가까운 동 광교호수산책로 인접"
e편한세상광교 6115동,월세1억/380,"아파트149A/119m², 저/28층, 남동향
45판상,카페거리와 IC 근접, 호수산책로와 채광최고, 커뮤니티근접"
e편한세상광교 6111동,월세4억/280,"아파트156F/120m², 저/39층, 남서향
47F, 귀한 타입, 보증금조정,거실 양창문, 넓은 주방, 시스템 에어컨"
e편한세상광교 6109동,월세6억/160,"아파트156E/120m², 중/35층, 남서향
47 추천, 로얄 동층, 아비뉴프랑과 중앙 역 근접 동, 채광 좋음"
e편한세상광교 6103동,매매17억,"아파트131D/100m², 저/36층, 남동향
39 컨디션 굿 시에5대 넓은주방 신분당선초역세권 연무중 가까운 동"
e편한세상광교 6119동,매매17억,"아파트136G/101m², 고/37층, 남서향
41 컨디션 우수 햇살 예쁜 집 시에 산의초 가까운 동 신분당선역세권"
e편한세상광교 6111동,월세4억/280,"아파트156F/120m², 저/39층, 남서향
47 컨디션 우수 로얄동 앞뒤로탁트인뷰 시에 중앙역가까운동 초중품아"
e편한세상광교 6122동,"매매16억 5,000","아파트131E/100m², 저/15층, 남동향
39 컨디션 우수 초록정원뷰 여천산책로 근접 산의초 가까운동"
e편한세상광교 6106동,전세11억,"아파트149A/119m², 중/28층, 남동향
45판상형 로얄동 컨디션우수 탁트인 광장뷰 풀인테리어 시에 초중품아"
e편한세상광교 6107동,월세4억/280,"아파트155D/120m², 중/37층, 남동향
47판상 컨디션우수 시에4 탁트인전망 카페거리가까운 동 초중품아"
e편한세상광교 6103동,월세7억/60,"아파트131D/100m², 중/36층, 남동향
39 햇살가득한 집 편의시설 근접 연무중 가까운동 신분당선초역세권"
e편한세상광교 6122동,"매매16억 5,000","아파트131D/100m², 고/15층, 남서향
39 컨디션우수 세안고 햇살가득한 집 풀시에 다산공원뷰 산의초가까운 동"
e편한세상광교 6106동,월세8억/120,"아파트149A/119m², 중/28층, 남동향
45 판상, 중앙 로얄동, 풀인테리에, 시스템에어컨, 단지 정원뷰 좋아요"
e편한세상광교 6109동,월세6억/160,"아파트156E/120m², 중/35층, 남서향
47 로얄동 채광 통풍 전망 굿 신분당선초역세권 초중품아"
e편한세상광교 6107동,월세4억/280,"아파트155D/120m², 중/37층, 남동향
47 판상, 연무중과 카페거리 근접동, 시스템에어컨, 최근 도배, 컨디굿"
e편한세상광교 6112동,월세3억/240,"아파트137H/101m², 저/38층, 남서향
41판상 컨디션우수 다산공원뷰 초중품아 중앙역초역세권"
e편한세상광교 6117동,월세7억/200,"아파트176A/145m², 저/37층, 남향
53판상 귀한평수 풀시에 여천뷰 커뮤니티 가까운 동"
e편한세상광교 6106동,월세8억/120,"아파트149A/119m², 중/28층, 남동향
45판상 컨디션우수 인기동 탁트인 조망 풀인테리어 시에 신분당선역세권"
e편한세상광교 6112동,월세3억/240,"아파트137H/101m², 저/38층, 남서향
41인기판상, 채광굿, 인기로얄동, 로얄층, 산의초인접, 확 트인뷰"
