articleNo,tradeTypeName,price,area1,floorInfo,direction,realEstateTypeName,latitude,longitude
2513515893,전세,N/A,149,중/28,남동향,아파트,37.292168,127.053552
2513515594,전세,N/A,149,중/21,남동향,아파트,37.29125,127.052582
2513513803,전세,N/A,156,중/35,남서향,아파트,37.291085,127.053374
2513515462,전세,N/A,137,고/37,남서향,아파트,37.293107,127.055785
2512024182,매매,N/A,155,22/39,남동향,아파트,37.291356,127.054296
2513520606,월세,N/A,131,5/15,남서향,아파트,37.290959,127.056661
2511990674,매매,N/A,155,20/37,남동향,아파트,37.292754,127.053376
2511938371,매매,N/A,149,6/35,남동향,아파트,37.291085,127.053374
2511930741,매매,N/A,155,20/37,남동향,아파트,37.292754,127.053376
2512253121,매매,N/A,156,18/39,남서향,아파트,37.291356,127.054296
2512097725,매매,N/A,155,22/39,남동향,아파트,37.291356,127.054296
2511984013,매매,N/A,156,2/37,남서향,아파트,37.292754,127.053376
2513536962,월세,N/A,131,5/15,남서향,아파트,37.290959,127.056661
2512051422,매매,N/A,176,5/37,남향,아파트,37.292252,127.056021
